transaction_id,customer_id,transaction_date,transaction_amount,transaction_type,category,payment_method,customer_segment,merchant_name,city
7402,10308,10-01-2025,36077.69,Debit,Travel,UPI,Corporate,Mishra PLC,Bangalore
2123,10257,10-01-2025,19408.28,Credit,Travel,Debit Card,Retail,Purohit-Bali,Kolkata
5509,10200,10-01-2025,4242.56,Debit,Healthcare,Debit Card,Retail,"Johal, Sule and Aurora",Delhi
1238,10033,10-01-2025,10517.78,Debit,Travel,Credit Card,Retail,Gopal and Sons,Mumbai
5640,10265,11-01-2025,481.32,Debit,Entertainment,UPI,Retail,Suri-Palan,Hyderabad
3334,10187,11-01-2025,30409.59,Debit,Electronics,Debit Card,Corporate,Kothari Inc,Hyderabad
4298,10099,11-01-2025,1181.5,Debit,Shopping,Debit Card,Retail,"Oommen, Acharya and Nadkarni",Hyderabad
2191,10335,11-01-2025,1002.77,Debit,Utilities,UPI,Retail,Manda-Deshmukh,Hyderabad
4150,10287,11-01-2025,4009.19,Debit,Shopping,Credit Card,Retail,Mammen and Sons,Chennai
2707,10403,11-01-2025,8649.74,Debit,Electronics,Credit Card,Retail,Patil Ltd,Delhi
9168,10233,11-01-2025,764.92,Debit,Utilities,UPI,Retail,Jani PLC,Bangalore
7428,10253,11-01-2025,1445.64,Credit,Entertainment,UPI,Retail,Iyengar Group,Chennai
7954,10214,11-01-2025,454.26,Credit,Utilities,UPI,Retail,Lalla-Sheth,Kolkata
9189,10012,11-01-2025,19170.57,Debit,Travel,Credit Card,Retail,"Sandal, Sarraf and Dhaliwal",Bangalore
162,10446,11-01-2025,2639.53,Debit,Entertainment,Credit Card,Retail,Lata-Devi,Hyderabad
1746,10171,11-01-2025,3999.07,Debit,Shopping,Credit Card,Premium,Saini Group,Kolkata
9261,10198,11-01-2025,626.44,Debit,Food,UPI,Premium,Mishra and Sons,Mumbai
1843,10039,11-01-2025,1925.8,Debit,Entertainment,Credit Card,Retail,"Koshy, Bhatt and Krishnan",Kolkata
5885,10004,11-01-2025,15964.95,Debit,Travel,Net Banking,Premium,Srivastava-Bail,Pune
7429,10072,11-01-2025,1411.54,Credit,Food,Debit Card,Corporate,"Peri, Sule and Sha",Chennai
6065,10040,11-01-2025,9435.1,Debit,Travel,Credit Card,Premium,Saha and Sons,Hyderabad
3693,10351,11-01-2025,15954.39,Debit,Travel,UPI,Retail,Sharma-Sanghvi,Pune
988,10248,11-01-2025,2456.72,Credit,Shopping,Credit Card,Retail,Patil LLC,Kolkata
3525,10361,12-01-2025,2928.62,Debit,Healthcare,Credit Card,Retail,Kara PLC,Kolkata
491,10079,12-01-2025,24415.87,Debit,Electronics,UPI,Retail,"Agate, Ganesh and Sani",Hyderabad
3192,10317,12-01-2025,34374.83,Debit,Healthcare,UPI,Corporate,Tiwari Inc,Delhi
2349,10247,12-01-2025,515.56,Credit,Food,UPI,Retail,Kata PLC,Pune
1341,10404,12-01-2025,420.57,Debit,Food,UPI,Premium,Karpe-Khurana,Mumbai
3350,10409,12-01-2025,10004.4,Debit,Healthcare,Debit Card,Corporate,"Dixit, Pingle and Gandhi",Mumbai
7992,10152,12-01-2025,1375.12,Debit,Utilities,UPI,Premium,Bajwa-Dayal,Mumbai
2969,10359,12-01-2025,3804.24,Debit,Entertainment,Credit Card,Retail,Gokhale and Sons,Mumbai
6334,10063,12-01-2025,40363.77,Debit,Electronics,UPI,Premium,Murthy-Chana,Delhi
5292,10024,12-01-2025,1994.03,Debit,Shopping,UPI,Premium,Johal LLC,Delhi
7601,10164,12-01-2025,2771.67,Debit,Entertainment,UPI,Retail,Palan PLC,Kolkata
7367,10023,12-01-2025,2125.02,Credit,Entertainment,UPI,Retail,Tella Ltd,Bangalore
4627,10079,12-01-2025,1992.28,Debit,Shopping,UPI,Retail,Gour-Bassi,Kolkata
11,10428,12-01-2025,2370.52,Debit,Travel,Credit Card,Retail,"Aurora, Suri and Rege",Chennai
3155,10237,12-01-2025,2906.13,Debit,Entertainment,Credit Card,Premium,Bajaj Inc,Hyderabad
5842,10219,12-01-2025,4597.62,Debit,Travel,UPI,Retail,"Borah, Tata and Bobal",Hyderabad
6629,10413,12-01-2025,1800.85,Credit,Utilities,UPI,Retail,Subramaniam and Sons,Pune
4449,10095,12-01-2025,5009.67,Debit,Shopping,UPI,Corporate,Khalsa LLC,Pune
6648,10192,12-01-2025,45124.07,Debit,Electronics,Debit Card,Retail,Sunder-Bhargava,Hyderabad
5642,10363,12-01-2025,12382.69,Debit,Healthcare,Debit Card,Retail,Bumb Group,Bangalore
8525,10063,12-01-2025,1751.03,Debit,Utilities,Debit Card,Retail,"Kadakia, Rama and Parmar",Pune
8256,10338,12-01-2025,701.9,Credit,Food,UPI,Retail,Chahal-Rau,Chennai
2167,10396,12-01-2025,2646.33,Debit,Entertainment,Credit Card,Retail,Ravi and Sons,Kolkata
6983,10405,12-01-2025,3758.84,Debit,Entertainment,UPI,Retail,Mishra Group,Hyderabad
2573,10098,12-01-2025,1489.53,Debit,Entertainment,Credit Card,Retail,"Ghosh, Tailor and Thaker",Bangalore
4140,10212,12-01-2025,1802.76,Debit,Utilities,Debit Card,Retail,Rama-Chaudhary,Hyderabad
9090,10147,12-01-2025,1952.83,Debit,Utilities,Credit Card,Retail,Acharya-Bhagat,Chennai
1409,10254,12-01-2025,509.75,Credit,Food,Credit Card,Retail,Bhavsar Ltd,Pune
6433,10237,12-01-2025,17869.44,Debit,Travel,UPI,Retail,"Bath, Gulati and Sami",Kolkata
6291,10349,12-01-2025,14566.39,Debit,Electronics,UPI,Premium,"Solanki, Ravi and Salvi",Pune
8327,10008,13-01-2025,1066.73,Debit,Shopping,UPI,Retail,Wali LLC,Kolkata
7036,10419,13-01-2025,4262.53,Debit,Shopping,UPI,Retail,"Contractor, Pandey and Patla",Pune
3396,10261,13-01-2025,797.31,Debit,Food,UPI,Retail,"Bora, Sandal and Naik",Chennai
864,10204,13-01-2025,6891.06,Debit,Healthcare,Credit Card,Retail,"Bahl, Sodhi and Gour",Delhi
5549,10396,13-01-2025,6634.63,Debit,Travel,Debit Card,Retail,Purohit Inc,Delhi
893,10004,13-01-2025,18807.28,Credit,Healthcare,Debit Card,Premium,Yogi Group,Bangalore
6420,10328,13-01-2025,11092.08,Debit,Travel,Debit Card,Retail,Dugar-Dube,Hyderabad
4129,10104,13-01-2025,1648.09,Debit,Utilities,Credit Card,Premium,"Oza, Gill and Sangha",Kolkata
8702,10345,13-01-2025,18767.22,Debit,Healthcare,UPI,Premium,Kade and Sons,Hyderabad
8742,10240,13-01-2025,2384.42,Debit,Shopping,Debit Card,Retail,Baral-Ganguly,Kolkata
5355,10274,13-01-2025,8233.19,Debit,Healthcare,Credit Card,Retail,Ray Ltd,Hyderabad
8054,10329,13-01-2025,35578.96,Debit,Electronics,Debit Card,Retail,"Kata, Dua and Mistry",Delhi
1240,10318,13-01-2025,8009.19,Credit,Travel,Debit Card,Premium,Srinivas-Ramesh,Mumbai
2073,10288,13-01-2025,3554.91,Debit,Shopping,UPI,Corporate,Behl-Dugal,Chennai
114,10059,13-01-2025,8225.11,Debit,Entertainment,UPI,Corporate,"Suresh, Dhaliwal and Gandhi",Bangalore
4018,10312,13-01-2025,13487.5,Debit,Healthcare,UPI,Retail,Prabhu Ltd,Bangalore
4568,10445,13-01-2025,8957.58,Debit,Travel,UPI,Premium,"Chawla, Deep and Gera",Delhi
6867,10244,14-01-2025,2267.78,Debit,Shopping,Credit Card,Retail,"Din, Nadkarni and Chada",Bangalore
2660,10199,14-01-2025,5187.14,Debit,Utilities,Credit Card,Corporate,Sachar-Sama,Bangalore
2493,10380,14-01-2025,3118.65,Credit,Entertainment,UPI,Retail,Anne LLC,Delhi
3207,10161,14-01-2025,3477.43,Credit,Entertainment,UPI,Retail,Sule Inc,Kolkata
2934,10112,14-01-2025,28591.36,Debit,Electronics,UPI,Retail,Grewal-Kurian,Kolkata
2970,10202,14-01-2025,7695.75,Debit,Healthcare,Credit Card,Retail,Goswami Ltd,Pune
4238,10236,14-01-2025,3949.37,Debit,Shopping,UPI,Retail,Dass LLC,Pune
7184,10069,14-01-2025,2382.31,Credit,Utilities,Debit Card,Retail,"Sen, Saran and Nazareth",Kolkata
5601,10160,14-01-2025,1706.64,Debit,Shopping,UPI,Retail,"Srinivasan, Manda and Ravi",Pune
1234,10332,14-01-2025,622.79,Debit,Entertainment,Debit Card,Premium,Lall Inc,Delhi
7398,10327,14-01-2025,2716.59,Debit,Utilities,UPI,Retail,Basu-Gola,Chennai
4070,10058,14-01-2025,17243.97,Debit,Travel,Debit Card,Retail,Mistry-Pall,Mumbai
3847,10073,14-01-2025,14581.69,Debit,Healthcare,Debit Card,Retail,Saxena Inc,Bangalore
8101,10454,14-01-2025,62044.06,Debit,Electronics,Debit Card,Premium,Oza-Kari,Kolkata
885,10035,14-01-2025,2459.77,Credit,Utilities,Credit Card,Retail,"Khare, Vora and Prashad",Delhi
8736,10280,14-01-2025,14740.12,Credit,Healthcare,UPI,Retail,Jayaraman-Karan,Hyderabad
4462,10380,14-01-2025,41132.62,Credit,Electronics,Debit Card,Premium,"Chhabra, Mahajan and Sharma",Chennai
3092,10056,14-01-2025,1155.46,Debit,Food,UPI,Premium,Choudhry-Roy,Mumbai
2426,10077,14-01-2025,18201.5,Debit,Travel,UPI,Retail,Yohannan PLC,Delhi
191,10433,14-01-2025,3675.85,Debit,Travel,Credit Card,Retail,Suri PLC,Delhi
2299,10321,14-01-2025,439.05,Debit,Food,Debit Card,Corporate,Pall-Panchal,Pune
5031,10159,14-01-2025,1117.49,Debit,Utilities,Debit Card,Retail,Kalla and Sons,Delhi
1719,10189,14-01-2025,2955.93,Debit,Utilities,Credit Card,Retail,"Mand, Din and Mitra",Pune
8686,10339,14-01-2025,30517.84,Debit,Electronics,UPI,Retail,Sastry-Bhatti,Pune
6300,10004,14-01-2025,1901.81,Debit,Shopping,Debit Card,Retail,"Chaudhary, Sachdev and Majumdar",Bangalore
5260,10308,14-01-2025,6674.81,Debit,Shopping,UPI,Premium,Guha-Kala,Hyderabad
1421,10205,14-01-2025,7690.81,Credit,Travel,Debit Card,Retail,Bava Ltd,Mumbai
445,10292,15-01-2025,12285.59,Debit,Healthcare,Debit Card,Retail,Borde-Kapur,Bangalore
6067,10427,15-01-2025,10756.69,Credit,Travel,UPI,Retail,"Gade, Dani and Sur",Kolkata
6489,10350,15-01-2025,1445.8,Debit,Utilities,Debit Card,Retail,"Behl, Wali and Mann",Pune
2127,10129,15-01-2025,3020.42,Debit,Utilities,Debit Card,Premium,"Mane, Sangha and Talwar",Bangalore
6058,10053,15-01-2025,1623.84,Debit,Utilities,UPI,Retail,Sekhon and Sons,Bangalore
3724,10054,15-01-2025,29323.64,Debit,Electronics,Credit Card,Corporate,Mann Inc,Chennai
417,10441,15-01-2025,7277.79,Credit,Travel,UPI,Retail,Naidu and Sons,Delhi
6017,10188,15-01-2025,481.82,Credit,Food,UPI,Corporate,"Bawa, Jhaveri and Mane",Kolkata
1059,10017,15-01-2025,25554.15,Debit,Electronics,UPI,Retail,Setty PLC,Mumbai
2751,10259,15-01-2025,8986.98,Debit,Travel,Credit Card,Retail,Bumb-Loyal,Kolkata
8357,10123,15-01-2025,24376.03,Debit,Electronics,UPI,Premium,"Ram, Gokhale and Tandon",Delhi
7691,10434,15-01-2025,825.61,Credit,Shopping,UPI,Retail,Sood Inc,Delhi
8637,10050,15-01-2025,660.25,Credit,Food,UPI,Retail,Srinivasan PLC,Hyderabad
5989,10369,15-01-2025,849.24,Debit,Food,UPI,Premium,Ramanathan-Mittal,Pune
3431,10156,15-01-2025,2449.52,Debit,Entertainment,Credit Card,Retail,Trivedi Inc,Bangalore
3128,10444,15-01-2025,519.1,Debit,Utilities,Debit Card,Retail,Sharma-Chand,Hyderabad
3874,10196,15-01-2025,31239.7,Credit,Healthcare,Credit Card,Corporate,Arora-Taneja,Mumbai
2562,10399,15-01-2025,3313.7,Debit,Utilities,Credit Card,Premium,Kakar-Sule,Mumbai
5612,10296,15-01-2025,2111.07,Debit,Utilities,UPI,Retail,Khanna-Bhatia,Delhi
1396,10204,15-01-2025,41957.52,Debit,Electronics,UPI,Retail,Dey-Sehgal,Hyderabad
8,10041,15-01-2025,3504.85,Debit,Entertainment,Debit Card,Retail,Sahni LLC,Bangalore
2234,10204,15-01-2025,43056.4,Credit,Electronics,Debit Card,Retail,Sethi-Kara,Kolkata
3553,10154,15-01-2025,8920.14,Debit,Healthcare,Debit Card,Retail,Manda LLC,Delhi
4272,10455,15-01-2025,14341.21,Debit,Healthcare,UPI,Retail,Lal Ltd,Mumbai
2687,10353,15-01-2025,2303.34,Debit,Healthcare,Credit Card,Retail,Bera Ltd,Pune
891,10118,15-01-2025,5625.3,Debit,Shopping,UPI,Premium,Arora Group,Kolkata
2883,10173,15-01-2025,1599.27,Debit,Entertainment,UPI,Premium,"Borde, Padmanabhan and Sule",Delhi
894,10318,15-01-2025,9149.3,Credit,Travel,Debit Card,Retail,"Loyal, Sarin and Tata",Kolkata
7088,10189,15-01-2025,799.51,Debit,Food,UPI,Premium,"Sem, Keer and Khatri",Kolkata
6703,10189,15-01-2025,1323.18,Debit,Utilities,Debit Card,Retail,"Suresh, Brahmbhatt and Kumer",Pune
4274,10130,15-01-2025,10593.49,Debit,Travel,UPI,Retail,Jain-Mishra,Kolkata
7760,10355,15-01-2025,2567.08,Debit,Entertainment,Credit Card,Corporate,"Ramaswamy, Dash and Rout",Delhi
1176,10197,16-01-2025,42568.97,Debit,Electronics,Credit Card,Premium,Ghose Inc,Bangalore
2773,10275,16-01-2025,1662.19,Debit,Food,UPI,Corporate,"Bakshi, Bahl and Dugar",Hyderabad
1068,10295,16-01-2025,708.75,Debit,Entertainment,Credit Card,Retail,Dani PLC,Hyderabad
5560,10048,16-01-2025,2025.59,Debit,Utilities,Debit Card,Retail,"Chopra, Srinivas and Nath",Chennai
5153,10232,16-01-2025,2753.83,Debit,Utilities,UPI,Retail,"Karnik, Chaudry and Raman",Hyderabad
4831,10357,16-01-2025,986.26,Debit,Food,Net Banking,Premium,"Dhar, Toor and Savant",Pune
6310,10383,16-01-2025,2483.76,Credit,Utilities,UPI,Retail,"Nagarajan, Sekhon and Ben",Bangalore
5427,10404,16-01-2025,49217.02,Debit,Electronics,Debit Card,Retail,Lad Inc,Chennai
5944,10066,16-01-2025,4457.27,Debit,Shopping,UPI,Retail,Goel-Kumar,Kolkata
8809,10318,16-01-2025,409.37,Debit,Utilities,Debit Card,Retail,Halder and Sons,Bangalore
2483,10168,16-01-2025,3792.96,Debit,Entertainment,Debit Card,Retail,Rai-Pillai,Hyderabad
3882,10163,16-01-2025,2275.01,Debit,Utilities,Debit Card,Retail,"Sankar, Ramachandran and Zacharia",Pune
537,10233,16-01-2025,2594.05,Debit,Utilities,Debit Card,Retail,Dave Inc,Chennai
5693,10201,16-01-2025,3217.89,Debit,Utilities,Credit Card,Premium,Sur-Borra,Chennai
2916,10189,16-01-2025,4129.91,Debit,Entertainment,Credit Card,Premium,Natarajan-Bandi,Chennai
3943,10033,16-01-2025,1719.85,Debit,Healthcare,Credit Card,Retail,Patel-Grewal,Hyderabad
2251,10011,16-01-2025,248.55,Debit,Food,Debit Card,Premium,"Roy, Korpal and Sanghvi",Mumbai
8730,10380,16-01-2025,7113.87,Credit,Travel,UPI,Retail,Bakshi-Singhal,Pune
1417,10322,16-01-2025,2708.18,Debit,Travel,Net Banking,Retail,"Iyer, Dewan and Sachdev",Chennai
3975,10246,16-01-2025,1033.03,Debit,Utilities,Debit Card,Retail,Mander Inc,Bangalore
2281,10288,16-01-2025,1241.25,Debit,Entertainment,Credit Card,Retail,Kalla-Samra,Mumbai
730,10152,16-01-2025,4945.81,Debit,Travel,UPI,Retail,"Atwal, Nath and Chana",Mumbai
4848,10448,16-01-2025,198.84,Debit,Food,UPI,Retail,Sankaran-Rama,Kolkata
1011,10317,16-01-2025,5981.77,Debit,Travel,UPI,Retail,Nadig-Chakraborty,Pune
9089,10181,16-01-2025,6065.87,Debit,Travel,Debit Card,Retail,Basu Ltd,Delhi
3135,10388,16-01-2025,12413.25,Debit,Electronics,Debit Card,Retail,Puri-Karnik,Pune
8818,10029,16-01-2025,5680.01,Debit,Healthcare,Debit Card,Retail,Palla-Madan,Delhi
4172,10297,16-01-2025,791.14,Debit,Food,UPI,Retail,Lalla Ltd,Mumbai
6191,10450,16-01-2025,15919.14,Debit,Healthcare,UPI,Premium,"Dhawan, Desai and Virk",Bangalore
7415,10385,16-01-2025,1610.19,Debit,Utilities,UPI,Retail,"Mitra, Uppal and Bains",Bangalore
377,10099,17-01-2025,4301.94,Debit,Shopping,Debit Card,Retail,Chakrabarti Ltd,Bangalore
3266,10368,17-01-2025,1501.17,Debit,Healthcare,UPI,Retail,Bhargava Ltd,Hyderabad
2898,10450,17-01-2025,2656.69,Debit,Utilities,Credit Card,Corporate,Chandra Inc,Chennai
9056,10168,17-01-2025,71516.87,Debit,Electronics,UPI,Premium,Bains-Bal,Hyderabad
3279,10176,17-01-2025,1200.8,Debit,Utilities,UPI,Retail,Menon Inc,Hyderabad
7506,10201,17-01-2025,4758.7,Debit,Shopping,UPI,Retail,Banerjee-Amble,Chennai
801,10352,17-01-2025,3682.57,Debit,Shopping,UPI,Retail,Lal-Oza,Mumbai
3003,10067,17-01-2025,22157.99,Debit,Electronics,UPI,Premium,"Kulkarni, Nagy and Sinha",Bangalore
8209,10053,17-01-2025,1124.62,Debit,Utilities,Debit Card,Retail,"Mody, Ray and Pai",Pune
9230,10117,17-01-2025,38156.76,Debit,Travel,UPI,Corporate,Sastry-Kulkarni,Bangalore
5345,10158,17-01-2025,2894.02,Credit,Utilities,UPI,Retail,"Mitter, Sethi and Ramakrishnan",Hyderabad
2457,10367,17-01-2025,9992.79,Debit,Travel,UPI,Retail,Din-Barad,Kolkata
1938,10292,17-01-2025,3791.45,Debit,Utilities,Debit Card,Premium,"Das, Sule and Sani",Chennai
8336,10130,17-01-2025,1548.63,Debit,Utilities,Credit Card,Retail,Loyal and Sons,Pune
4567,10243,17-01-2025,1652.86,Debit,Shopping,UPI,Retail,Pandit-Kumer,Hyderabad
9026,10270,17-01-2025,551.06,Debit,Food,Debit Card,Premium,Tailor Ltd,Kolkata
1077,10019,17-01-2025,21063.35,Debit,Electronics,Credit Card,Retail,"Comar, Bhavsar and Mangat",Kolkata
3179,10156,17-01-2025,3312.27,Debit,Entertainment,UPI,Retail,Narasimhan-Cherian,Delhi
5461,10154,17-01-2025,990.14,Debit,Food,UPI,Premium,"Gole, Aurora and Magar",Delhi
1621,10378,17-01-2025,425.64,Debit,Food,UPI,Retail,Chakraborty Inc,Delhi
5690,10011,18-01-2025,20440.05,Debit,Travel,Credit Card,Premium,Cherian PLC,Hyderabad
8301,10088,18-01-2025,60073.4,Debit,Electronics,Credit Card,Premium,Rajan-Bal,Bangalore
731,10437,18-01-2025,4956.78,Debit,Travel,UPI,Retail,Nagarajan-Karpe,Mumbai
8094,10349,18-01-2025,36632.84,Debit,Healthcare,UPI,Corporate,"Ghosh, Tella and Aurora",Delhi
4776,10048,18-01-2025,25343.14,Credit,Travel,Net Banking,Premium,Rai Ltd,Pune
6448,10242,18-01-2025,38637.03,Debit,Electronics,Credit Card,Premium,Om and Sons,Delhi
5659,10409,18-01-2025,4832.3,Debit,Shopping,Credit Card,Retail,Dass and Sons,Chennai
4457,10414,18-01-2025,21685.36,Debit,Travel,UPI,Premium,Bhatnagar-Andra,Delhi
5306,10383,18-01-2025,1745.96,Debit,Utilities,UPI,Retail,Deep-Ghosh,Chennai
2303,10428,18-01-2025,7933.68,Debit,Healthcare,Credit Card,Retail,Kaul-Talwar,Bangalore
7269,10396,18-01-2025,10727.46,Debit,Travel,UPI,Retail,"Lanka, Mandal and Shere",Mumbai
6131,10299,18-01-2025,1691.09,Debit,Entertainment,Debit Card,Retail,Madan and Sons,Pune
6093,10333,18-01-2025,337.11,Debit,Food,Credit Card,Retail,"Ahluwalia, Ramakrishnan and Banerjee",Hyderabad
211,10080,18-01-2025,2672.37,Debit,Utilities,Credit Card,Premium,Gera PLC,Bangalore
430,10357,18-01-2025,616.08,Debit,Utilities,UPI,Retail,Chaudhari-Ahuja,Hyderabad
2785,10055,18-01-2025,1046.47,Debit,Food,Debit Card,Premium,Peri-Manne,Bangalore
5472,10340,18-01-2025,318.98,Credit,Food,Credit Card,Retail,Sampath Ltd,Pune
5027,10419,18-01-2025,6660.28,Credit,Travel,Credit Card,Retail,Sarna-Sem,Pune
7857,10239,18-01-2025,16131.45,Debit,Healthcare,Credit Card,Corporate,Mohan LLC,Pune
4156,10066,18-01-2025,521.58,Credit,Entertainment,UPI,Premium,Chatterjee-Sahota,Bangalore
5495,10051,18-01-2025,3952.44,Debit,Utilities,Credit Card,Corporate,Bassi Inc,Bangalore
6330,10200,18-01-2025,205.35,Debit,Food,UPI,Premium,"Minhas, Kara and Bhardwaj",Hyderabad
7212,10436,18-01-2025,761.07,Debit,Utilities,Credit Card,Retail,"Raghavan, Dhar and Munshi",Mumbai
7615,10211,18-01-2025,271.7,Debit,Food,Net Banking,Retail,Kapadia PLC,Mumbai
3250,10054,18-01-2025,32676.69,Debit,Electronics,Credit Card,Retail,"Krishna, Mallick and Mohan",Hyderabad
2995,10131,18-01-2025,655.63,Debit,Utilities,UPI,Retail,Mammen-Taneja,Kolkata
1375,10330,18-01-2025,1451.29,Debit,Utilities,UPI,Premium,"Soni, Goda and Ramesh",Kolkata
1815,10004,18-01-2025,1304.66,Debit,Shopping,Credit Card,Premium,Issac-Goda,Bangalore
4331,10164,19-01-2025,16175.73,Debit,Electronics,UPI,Retail,Gole and Sons,Hyderabad
1200,10074,19-01-2025,9114.05,Debit,Electronics,UPI,Retail,"Amble, Pandya and Sani",Delhi
1453,10060,19-01-2025,2646.04,Debit,Utilities,UPI,Retail,Wali-Vasa,Pune
4367,10335,19-01-2025,390.19,Debit,Food,UPI,Corporate,"Sengupta, Mishra and Bhakta",Hyderabad
8092,10203,19-01-2025,14969.65,Debit,Travel,UPI,Premium,"Pandya, Bera and Salvi",Hyderabad
1015,10046,19-01-2025,3675.09,Credit,Shopping,Credit Card,Retail,"Chowdhury, Seshadri and Karpe",Chennai
1967,10325,19-01-2025,798.09,Debit,Utilities,Credit Card,Retail,"Karpe, Joshi and Acharya",Kolkata
770,10068,19-01-2025,62398.64,Credit,Electronics,Credit Card,Premium,"Bhardwaj, Kapadia and Ghosh",Chennai
2581,10332,19-01-2025,2282.35,Debit,Healthcare,UPI,Retail,"Krish, Upadhyay and Loyal",Mumbai
835,10233,19-01-2025,448.86,Debit,Food,UPI,Retail,Kohli and Sons,Hyderabad
9124,10067,19-01-2025,5417.62,Debit,Entertainment,UPI,Premium,"Dora, Modi and Bansal",Kolkata
4995,10107,19-01-2025,221.86,Debit,Food,UPI,Premium,Kakar Ltd,Kolkata
505,10090,19-01-2025,2833.51,Debit,Entertainment,Net Banking,Retail,Mani-Narula,Delhi
8386,10361,19-01-2025,2440.63,Debit,Utilities,UPI,Premium,Nagy-Chaudhary,Chennai
3108,10236,19-01-2025,811.12,Credit,Shopping,UPI,Premium,Chander LLC,Mumbai
7028,10235,19-01-2025,2957.67,Debit,Utilities,UPI,Retail,Nagy Inc,Pune
3938,10425,19-01-2025,212.16,Debit,Food,UPI,Retail,Lad-Mishra,Hyderabad
2755,10056,19-01-2025,18514.75,Debit,Travel,Credit Card,Retail,"Dada, Vora and Tella",Bangalore
6813,10283,19-01-2025,3346.18,Debit,Travel,Credit Card,Premium,"Batra, Goyal and Oommen",Kolkata
3547,10210,19-01-2025,4249.21,Debit,Healthcare,Credit Card,Corporate,"Thakkar, Sankar and Mittal",Mumbai
75,10348,19-01-2025,10749.43,Credit,Healthcare,UPI,Retail,Chakraborty LLC,Bangalore
8592,10383,19-01-2025,266.69,Debit,Food,UPI,Corporate,"Palla, Atwal and Chada",Mumbai
6239,10084,19-01-2025,13068.91,Debit,Healthcare,Net Banking,Retail,Rao-Chandra,Mumbai
1564,10123,20-01-2025,10419.76,Debit,Travel,Credit Card,Premium,Prasad-Roy,Delhi
8930,10113,20-01-2025,19640.93,Debit,Travel,UPI,Retail,Pingle-Swaminathan,Chennai
3020,10333,20-01-2025,16107.68,Debit,Travel,Net Banking,Retail,Grover PLC,Kolkata
7257,10002,20-01-2025,135.36,Debit,Food,UPI,Retail,Pandya-Jayaraman,Chennai
6782,10060,20-01-2025,38473.96,Debit,Electronics,UPI,Premium,Bajwa-Kata,Hyderabad
8949,10011,20-01-2025,4063.38,Debit,Healthcare,Credit Card,Retail,More-Nayar,Kolkata
1355,10159,20-01-2025,1614.01,Credit,Utilities,UPI,Retail,Bakshi-Lad,Mumbai
762,10272,20-01-2025,17650.94,Credit,Electronics,Debit Card,Retail,Lad-Krishna,Pune
6891,10065,20-01-2025,7178.45,Debit,Healthcare,Net Banking,Retail,Gaba-Parsa,Mumbai
8944,10032,20-01-2025,46675.27,Debit,Electronics,Credit Card,Retail,Bakshi-Sha,Kolkata
790,10213,20-01-2025,3804.95,Debit,Entertainment,UPI,Retail,Sem-Wali,Delhi
1172,10229,20-01-2025,1180.25,Debit,Food,Credit Card,Premium,"Dhaliwal, Mangat and De",Mumbai
2559,10298,20-01-2025,9918.78,Debit,Electronics,Debit Card,Premium,Sama-Ganesh,Chennai
4885,10246,20-01-2025,8163.57,Debit,Electronics,Credit Card,Retail,Kapadia Inc,Kolkata
